date,ticker,open,high,low,close,volume,rsi,macd,signal_line
09-03-2018,TATACONSUM,260.1909103888429,260.1909103888429,251.42044158134613,253.07080078125,1614381,50.45056371482568,-4.631456889,-5.61329975
12-03-2018,TATACONSUM,254.62679117352667,260.8981489779169,254.3438840286568,260.3323059082031,2583575,64.04256806045979,-4.038595147,-5.298358829
13-03-2018,TATACONSUM,262.21838095545843,265.283332494819,257.64455322069534,262.35986328125,3095190,62.77531987748751,-3.366335985,-4.91195426
14-03-2018,TATACONSUM,259.577870120694,265.23624331133584,259.577870120694,262.642822265625,2056369,69.8183004900313,-2.778702181,-4.485303845
15-03-2018,TATACONSUM,262.1713009689113,268.20689350860334,261.4640042936354,263.6802062988281,2877987,63.165742931246,-2.203884922,-4.02902006
16-03-2018,TATACONSUM,264.8118534179235,266.60369461628625,255.616996996746,256.89013671875,2762357,48.56022594524352,-2.270071995,-3.677230447
19-03-2018,TATACONSUM,257.0787547718731,257.4559738860411,243.640118772327,245.7620086669922,3665423,35.154643199212146,-3.183772116,-3.578538781
20-03-2018,TATACONSUM,244.9132671408849,248.63834559771388,240.57517522434736,247.1294403076172,2855717,36.40036319315495,-3.754268864,-3.613684797
21-03-2018,TATACONSUM,250.194381526803,251.1374436943069,247.22374145516028,248.21397399902344,1477158,38.33830721035629,-4.071940053,-3.705335849
22-03-2018,TATACONSUM,249.58139763580087,249.58139763580087,242.93282084659185,244.1116485595703,1681596,35.2669966051635,-4.601674893,-3.884603657
23-03-2018,TATACONSUM,236.7557615060766,244.15879093314973,235.765543346026,243.2157287597656,2297852,33.70062628296483,-5.035737958,-4.114830517
26-03-2018,TATACONSUM,243.35720367184248,248.49690447951937,239.25489149184705,247.2709350585937,2440719,39.56336732888562,-4.99493629,-4.290851672
27-03-2018,TATACONSUM,248.9683938290169,250.61875250023195,245.903442011046,248.7797698974609,3071911,45.2425139975778,-4.785683928,-4.389818123
28-03-2018,TATACONSUM,246.37498938519025,248.9684103260869,242.8385062839673,244.017333984375,2283408,36.47272870697336,-4.947111478,-4.501276794
29-03-2018,TATACONSUM,246.37498938519025,248.9684103260869,242.8385062839673,244.017333984375,2283408,40.22394399521782,-5.017208716,-4.604463179
30-03-2018,TATACONSUM,246.37498938519025,248.9684103260869,242.8385062839673,244.017333984375,2283408,29.10629114381165,-5.014952037,-4.68656095
02-04-2018,TATACONSUM,244.58316203155184,262.5484835716141,244.58316203155184,261.1810607910156,6610831,48.91212142377555,-3.586847348,-4.46661823
