date,ticker,open,high,low,close,volume,rsi,macd,signal_line
08-03-2018,HDFCBANK,870.1230933908228,878.9671302035695,866.4341041339463,876.2949829101562,2759362,42.96259040610709,-6.278878852,-4.767001901
09-03-2018,HDFCBANK,877.2881624985944,882.159512749507,872.1094445838847,875.4437255859375,2054054,42.636358417840526,-6.397216679,-5.093044857
12-03-2018,HDFCBANK,879.7711874941041,884.1459233816057,876.5552000757489,883.1054688,3278558,51.091406322812006,-5.805835559,-5.235602997
13-03-2018,HDFCBANK,883.1999763131479,891.3819373373927,877.311841761965,879.7947998046875,2562100,50.76309000834095,-5.540438352,-5.296570068
14-03-2018,HDFCBANK,877.7847822807723,883.4128320326224,874.0012271847345,881.8048095703125,1840196,53.02463271996215,-5.10902451,-5.259060957
15-03-2018,HDFCBANK,882.13581558936,892.6824981304577,882.13581558936,889.5137939453125,2935462,50.07111696593068,-4.097837994,-5.026816364
16-03-2018,HDFCBANK,889.1354035790779,889.6556308325511,873.3154377094472,876.3659057617188,3948168,33.03389190341386,-4.307733222,-4.882999736
19-03-2018,HDFCBANK,876.3659144928272,879.6765250710515,871.7074240113905,873.6464844,3919370,33.668023008517665,-4.640023973,-4.834404583
20-03-2018,HDFCBANK,872.6296781964942,877.7375006766285,867.9711875241552,869.981201171875,1828686,35.91686908352531,-5.139875228,-4.895498712
21-03-2018,HDFCBANK,874.001205796465,881.1899372100289,871.7783903249265,879.1563110351562,2960570,45.40861409316697,-4.741004909,-4.864599952
22-03-2018,HDFCBANK,879.1564332226795,889.1355493847042,877.3592212532733,883.3419799804688,3336612,48.13670751773298,-4.04057161,-4.699794283
23-03-2018,HDFCBANK,873.362810620575,876.4132789872715,868.9171215979502,870.9508056640625,3595076,42.86080414008607,-4.434222429,-4.646679912
26-03-2018,HDFCBANK,870.1703245576175,898.5942685586915,867.1434691591373,895.4964599609375,5250884,60.39187718605358,-2.73404797,-4.264153524
27-03-2018,HDFCBANK,895.6620502922336,898.1213378663907,887.243617607872,895.094482421875,3068418,63.99905814395342,-1.402911797,-3.691905178
28-03-2018,HDFCBANK,890.5305384618487,898.4523563040874,887.2672686411667,892.0203247070312,4418754,58.28967198324846,-0.589243196,-3.071372782
29-03-2018,HDFCBANK,890.5305384618487,898.4523563040874,887.2672686411667,892.0203247070312,4418754,58.81755179509357,0.0549614708301078,-2.446105931
30-03-2018,HDFCBANK,890.5305384618487,898.4523563040874,887.2672686411667,892.0203247070312,4418754,55.16288460681966,0.5590538852318332,-1.845073968
02-04-2018,HDFCBANK,894.1014053699056,915.5021398808752,894.1014053699056,913.3502197265624,2298184,66.07749877760332,2.649157187130413,-0.946227737
03-04-2018,HDFCBANK,909.921364596814,910.749017305282,903.7967576471387,906.1141967773438,2039942,61.091947716888775,3.6792800836988135,-0.021126173
04-04-2018,HDFCBANK,904.718972053951,910.3943048863632,888.4023901607653,890.6725463867188,1857054,50.49386833264744,3.212614742627352,0.625622010214295
05-04-2018,HDFCBANK,899.2092229252659,905.215593793183,893.9594938285759,902.8035888671876,2429446,61.36644534958605,3.778101243163064,1.2561178568040487
06-04-2018,HDFCBANK,904.364121694818,911.1035783746768,901.337324178956,909.6611328,1860004,64.95188043847338,4.72513148003884,1.949920581451007
09-04-2018,HDFCBANK,907.4856816683024,918.4579679764764,906.3506036320338,917.0628051757812,2001768,68.95828653473438,6.003705882866598,2.760677641734125
10-04-2018,HDFCBANK,918.9308680131292,918.9308680131292,904.9790097494198,908.4551391601562,3033618,61.85188111380506,6.250368244144852,3.458615762216271
11-04-2018,HDFCBANK,906.1141145690416,908.0531749064633,901.148198768772,907.50927734375,1435406,60.03922823418689,6.296939598890162,4.02628052955105
12-04-2018,HDFCBANK,906.1613164708214,914.1540870195876,901.3845903887355,912.2150268554688,2356258,68.3105370095622,6.637054557544161,4.548435335149673
