date,ticker,open,high,low,close,volume,rsi,macd,signal_line
18-01-2018,POWERGRID,76.18627693270935,76.64661895524779,75.09297373466397,75.57249450683594,24603506,40.64321262047734,-0.305507255,-0.155444846
19-01-2018,POWERGRID,75.57249299829739,75.9561096083774,74.53672606982802,75.22723388671875,8082214,38.611013818927525,-0.355649819,-0.19548584
22-01-2018,POWERGRID,75.24641664572246,75.55330784766599,74.80525859175368,74.92034149169922,9833311,35.06851852860886,-0.415363758,-0.239461424
23-01-2018,POWERGRID,74.92033772772182,75.32313306042802,74.4408169968178,75.1313247680664,16134097,33.79872315934732,-0.440584119,-0.279685963
24-01-2018,POWERGRID,74.92034323538995,75.55330960608833,74.86280178407797,75.16969299316406,11061376,36.82625994852905,-0.452262046,-0.314201179
25-01-2018,POWERGRID,75.45740675151028,75.51494820381258,74.09556983344467,74.53672790527344,13143678,30.08604871154877,-0.506750377,-0.352711019
26-01-2018,POWERGRID,75.45740675151028,75.51494820381258,74.09556983344467,74.53672790527344,13143678,31.343303075817943,-0.543665732,-0.390901961
29-01-2018,POWERGRID,74.61346151333535,75.1888865058865,74.42165318248496,74.47919464111328,11002896,29.17953746141784,-0.570981946,-0.426917958
30-01-2018,POWERGRID,74.34492132464892,75.2464214421302,73.15570873583108,74.78607940673828,22826262,34.78264629113329,-0.561395785,-0.453813524
31-01-2018,POWERGRID,74.78607535555498,74.92034220886548,73.65440948481394,74.34491729736328,14372442,36.721431626829705,-0.582680006,-0.47958682
01-02-2018,POWERGRID,74.61344191841768,74.86279164241238,72.50354563002861,74.7477035522461,17028230,44.93231348919461,-0.560584353,-0.495786327
02-02-2018,POWERGRID,74.61345961980658,74.61345961980658,73.27079613479381,73.99967193603516,22083930,26.811830219460305,-0.596556556,-0.515940373
05-02-2018,POWERGRID,72.88717075654802,75.55330824976278,72.88717075654802,75.38068389892578,21997294,51.04913194710044,-0.507775344,-0.514307367
